proposedSlug,name,certificateNos,ministryDistricts,placeId,pricingRegion,pricingName,vitoPrice,sprinterPrice,status,reviewReasons
"palm-city-alanya-hotel","PALM CİTY ALANYA HOTEL","2022-7-1299","ALANYA","ChIJB88n3ruZ3BQRHCm5mOFIhaU","alanya_merkez","Alanya merkez","75","95","ready",""
"ramira-joy-hotel","RAMİRA JOY HOTEL","2022-7-0093","ALANYA","ChIJB0ulN4Ki3BQR10ot_we9EbA","alanya_merkez","Alanya merkez","75","95","ready",""
"relax-beach-hotel","RELAX BEACH HOTEL","2022-7-0546","ALANYA","ChIJ7QV2YiGZ3BQR6TuzPka51vw","alanya_merkez","Alanya merkez","75","95","ready",""
"resitalya-otel","RESİTALYA OTEL","2022-7-0561","ALANYA","ChIJ73L0XV6Y3BQRdxj49704DOM","alanya_merkez","Alanya merkez","75","95","ready",""
"riviera-otel","RİVİERA OTEL","8539","ALANYA","ChIJT7SmK5ui3BQRR3rVCS6e3L0","alanya_merkez","Alanya merkez","75","95","ready",""
"riviera-zen-otel","RİVİERA ZEN OTEL","2456","ALANYA","ChIJEb0ygVKj3BQRqWYpAeCTljY","alanya_merkez","Alanya merkez","75","95","ready",""
"rosella-hotel","ROSELLA HOTEL","2022-7-0740","ALANYA","ChIJAb3MVHyZ3BQRLrkEJcIcm_M","alanya_merkez","Alanya merkez","75","95","ready",""
"royal-otel","ROYAL OTEL","2022-7-1214","ALANYA","ChIJfb0XpPai3BQRl2IByIMl4kk","alanya_merkez","Alanya merkez","75","95","ready",""
"saritas-otel","SARITAŞ OTEL","10151","ALANYA","ChIJSeI-PYWY3BQR8k_f_9ykVI8","alanya_merkez","Alanya merkez","75","95","ready",""
"sette-serenity-otel","SETTE SERENITY OTEL","2022-7-0619","ALANYA","ChIJPW6Lg1OY3BQRLS49RLLFcfE","alanya_merkez","Alanya merkez","75","95","ready",""
"simply-fine-hotel-alize","SİMPLY FİNE HOTEL ALİZE","18682","ALANYA","ChIJt5i7mCyZ3BQR-CvwkOb_gBs","alanya_merkez","Alanya merkez","75","95","ready",""
"sultan-sipahi-resort-hotel","SULTAN SİPAHİ RESORT HOTEL","8429","ALANYA","ChIJ6w4BbJui3BQR8CTSZnHYCBQ","alanya_merkez","Alanya merkez","75","95","ready",""
"sun-vera-otel","SUN VERA OTEL","2022-7-0628","ALANYA","ChIJ_QRhcaCj3BQRT2SH1s_AMhk","alanya_merkez","Alanya merkez","75","95","ready",""
"sunny-hill-alya","SUNNY HİLL ALYA","5052","ALANYA","ChIJGyXBuZ2i3BQRH_6s_rljLoo","alanya_merkez","Alanya merkez","75","95","ready",""
"tac-premier-hotel-spa","TAÇ PREMIER HOTEL & SPA","11828","ALANYA","ChIJL4Mk4Aqa3BQRP7g9M5NMOWY","alanya_merkez","Alanya merkez","75","95","ready",""
"temiz-otel","TEMİZ OTEL","2022-7-0568","ALANYA","ChIJJavJKHeY3BQRRoZMz3xwtso","alanya_merkez","Alanya merkez","75","95","ready",""
"time-beach-otel","TİME BEACH OTEL","8591","ALANYA","ChIJ9dG4HACj3BQRl3qUVC7pG0o","alanya_merkez","Alanya merkez","75","95","ready",""
"tolenza-hotels","TOLENZA HOTELS","27393","ALANYA","ChIJf3KEAkmj3BQRFua5dPQwPQg","alanya_merkez","Alanya merkez","75","95","ready",""
"villa-sunflower-hotel","VILLA SUNFLOWER HOTEL","24164","ALANYA","ChIJcZb12X6Y3BQR1ggAs-ZaYuY","alanya_merkez","Alanya merkez","75","95","ready",""
"white-gold","WHİTE GOLD","12023","ALANYA","ChIJaYZp0lKY3BQRH65Xcbe28K4","alanya_merkez","Alanya merkez","75","95","ready",""
"wien-star-otel","WIEN STAR OTEL","1459","ALANYA","ChIJ8WT7G16Y3BQRkRE7q0_DlmE","alanya_merkez","Alanya merkez","75","95","ready",""
"xperia-saray-beach-otel","XPERIA SARAY BEACH OTEL","12435","ALANYA","ChIJ_-bFV4Wi3BQR6b_en732VhA","alanya_merkez","Alanya merkez","75","95","ready",""
"yaman-life-otel","YAMAN LİFE OTEL","2022-7-0739","ALANYA","ChIJBZYVR1eY3BQRLolt-VKZjwo","alanya_merkez","Alanya merkez","75","95","ready",""
"yildirimoglu","YILDIRIMOĞLU","8641","ALANYA","ChIJLXTfuHyY3BQR3t7lefowmDo","alanya_merkez","Alanya merkez","75","95","ready",""
"bilem-hotel","BİLEM HOTEL","20132","MURATPAŞA","ChIJ9QFoLv-bwxQRx0gDCplxVs0","antalya","Antalya şehir merkezi","35","60","ready",""
"birpa-kundu-otel","BİRPA KUNDU OTEL","25032","MURATPAŞA","ChIJhVXvFUaDwxQRO_sTxp_V-ZU","antalya","Antalya şehir merkezi","35","60","ready",""
"blue-more-suite-hotel","BLUE MORE SUİTE  HOTEL","G_26416","KONYAALTI","ChIJySwoXiKRwxQRUIvmmesZW8M","antalya","Antalya şehir merkezi","35","60","ready",""
"citrus-urban-hotel","CİTRUS URBAN HOTEL","26377","KONYAALTI","ChIJCcuAY6CRwxQRialR5JgHk8c","antalya","Antalya şehir merkezi","35","60","ready",""
"deluxe-ersoy-hotel","DELUXE ERSOY HOTEL","2022-7-1071","MURATPAŞA","ChIJBU3hiweRwxQROdu_aIFBjIo","antalya","Antalya şehir merkezi","35","60","ready",""
"europa-selale-hotel","EUROPA ŞELALE HOTEL","G_25972","KONYAALTI","ChIJxexh46SRwxQRmo9DZcOdkpI","antalya","Antalya şehir merkezi","35","60","ready",""
"in-the-middle","IN THE MIDDLE","22533","MURATPAŞA","ChIJ5f6lBamRwxQR0uxMvAHu3s8","antalya","Antalya şehir merkezi","35","60","ready",""
"opera-hotel-antalya","OPERA HOTEL ANTALYA","4504","KONYAALTI","ChIJOR4X0geRwxQRonzsrQKuSA4","antalya","Antalya şehir merkezi","35","60","ready",""
"belenli-resort-hotel-belek","BELENLİ RESORT HOTEL BELEK","G_26130","SERİK","ChIJORx1u2B7wxQRfzV3Qy7L0Lw","belek","Belek","40","70","ready",""
"belkon-hotel","BELKON HOTEL","2022-7-0779","SERİK","ChIJo15LL-N7wxQRjUhUlFhzdYw","belek","Belek","40","70","ready",""
"mercure-antalya-belek-otel","MERCURE ANTALYA BELEK OTEL","19266","SERİK","ChIJMR3-ie17wxQRlD1TjW1Gwi0","belek","Belek","40","70","ready",""
"paloma-sencia","PALOMA SENCIA","7346","SERİK","ChIJ0wWOGgBlwxQRywiDd3684QA","belek","Belek","40","70","ready",""
"pascha-otel","PASCHA OTEL","2022-7-1488","SERİK","ChIJLzBJAfV9wxQRSlBb8y3pVU0","belek","Belek","40","70","ready",""
"selectum-noa-belek","SELECTUM NOA BELEK","4601","SERİK","ChIJuQv5mL1kwxQRdcA9MFF4ReQ","belek","Belek","40","70","ready",""
"sy-hotels-belek","SY HOTELS BELEK","27009","SERİK","ChIJERi-_L17wxQRT0WLJXq0r-U","belek","Belek","40","70","ready",""
"the-x-belek-otel","THE X BELEK OTEL","20308","SERİK","ChIJU_8aZJZ9wxQRH9FU58Mnzw0","belek","Belek","40","70","ready",""
"armas-life-belek-otel","ARMAS LİFE  BELEK OTEL","2022-7-1224","SERİK","ChIJo_g5Hg1kwxQRQdedypPUA1Q","bogazkent","Boğazkent","45","80","ready",""
"black-royal-belek","Black Royal Belek","27253","SERİK","ChIJ7R4mgrdlwxQRgySTIFSRYok","bogazkent","Boğazkent","45","80","ready",""
"sensitive-premium-resort","SENSITIVE PREMIUM RESORT","16338","SERİK","ChIJ0y6GYnlkwxQRWWUVbasntOA","bogazkent","Boğazkent","45","80","ready",""
"siam-elegance-hotel-spa","SİAM ELEGANCE HOTEL&SPA","11094","SERİK","ChIJFWBF2QxkwxQRzOoGdQxqCBI","bogazkent","Boğazkent","45","80","ready",""
"tui-blue-sherwood-belek","TUI BLUE SHERWOOD BELEK","12512","SERİK","ChIJywcAQGd7wxQRega1IgpU0NQ","bogazkent","Boğazkent","45","80","ready",""
"drita-otel","DRİTA OTEL","12642","ALANYA","ChIJW4A4iI6Q3BQRm13U9D8OudY","kargicak","Kargıcak","90","115","ready",""
"kirbiyik-resort-otel","KIRBIYIK RESORT OTEL","6234","ALANYA","ChIJr5kQIHuQ3BQRuwInSiPTpBg","kargicak","Kargıcak","90","115","ready",""
"sedir-park-joy-otel","SEDİR PARK JOY OTEL","23192","ALANYA","ChIJrRj-YTCbwxQRq0blRTGTOD4","kargicak","Kargıcak","90","115","ready",""
"adalin-resort-otel","ADALİN RESORT OTEL","2022-7-1737","KEMER","ChIJOcikYMO3wxQRocYkr09dAnM","kemer","Kemer","55","90","ready",""
"alder-garden-hotel","ALDER GARDEN HOTEL","2022-7-0379","KEMER","ChIJSzD7JLe5wxQRMpQVBSQNcCI","kemer","Kemer","55","90","ready",""
"alder-resort-otel","ALDER RESORT OTEL","23650","KEMER","ChIJW5kygDe5wxQRMb6voQOsXjo","kemer","Kemer","55","90","ready",""
"ambassador-plaza","AMBASSADOR PLAZA","12110","KEMER","ChIJe1e8dZm3wxQRQ19Skenj97g","kemer","Kemer","55","90","ready",""
"anita-dream-hotel","ANİTA DREAM HOTEL","2022-7-1683","KEMER","ChIJoxbmoP-3wxQR-vU1QVOg1do","kemer","Kemer","55","90","ready",""
"ares-blue-otel","ARES BLUE OTEL","2022-7-0638","KEMER","ChIJF07P9f62wxQRmXqDGAXY9ZE","kemer","Kemer","55","90","ready",""
"armas-beach-hotel","ARMAS BEACH HOTEL","2022-7-0172","KEMER","ChIJF0Y_g4C3wxQRILGsZ2_twQs","kemer","Kemer","55","90","ready",""
"armas-gul-beach-otel","ARMAS GÜL BEACH OTEL","2022-7-0171|2022-7-0170","KEMER","ChIJz6gcviK3wxQRC9r6N27YSTk","kemer","Kemer","55","90","ready",""
"armas-labada-otel","ARMAS LABADA OTEL","17954","KEMER","ChIJY5zZLGe2wxQR1nW1fYUCmj0","kemer","Kemer","55","90","ready",""
"aybel-inn-hotel","AYBEL İNN HOTEL","2022-7-0531","KEMER","ChIJ65zMKw6_wxQRq_KJ3vHDlNw","kemer","Kemer","55","90","ready",""
"aysu-tunc-hotel","AYSU TUNÇ HOTEL","2022-7-1648","KEMER","ChIJ_0iFCwC_wxQRXSbZlB7g95E","kemer","Kemer","55","90","ready",""
"baia-salima-kemer","BAIA SALİMA KEMER","2546","KEMER","ChIJDYNqkyW_wxQR8RVK7AiZOkQ","kemer","Kemer","55","90","ready",""
"balmy-beach-resort-kemer","BALMY BEACH RESORT KEMER","21714","KEMER","ChIJ8fevahm3wxQR9b45G8zlIdc","kemer","Kemer","55","90","ready",""
"balmy-foresta","BALMY FORESTA","2615","KEMER","ChIJj_o1awC_wxQRJtG4gli3Ucg","kemer","Kemer","55","90","ready",""
"belcan-hotel","BELCAN HOTEL","2022-7-1105","KEMER","ChIJZ6omQJy_wxQRMFSSknVsVIg","kemer","Kemer","55","90","ready",""
"belpoint-beach-hotel","BELPOINT BEACH HOTEL","2022-7-1376","KEMER","ChIJpSo0J6O3wxQRrSQGKx9gGrY","kemer","Kemer","55","90","ready",""
"belsea-hotel","BELSEA HOTEL","2022-7-1758","KEMER","ChIJARV81e2_wxQRguCgLAN3LC8","kemer","Kemer","55","90","ready",""
"belsun-hotel","BELSUN HOTEL","2022-7-0461","KEMER","ChIJQUy7C9y_wxQR_OWxvJbqqas","kemer","Kemer","55","90","ready",""
"castle-park-hotel","CASTLE PARK HOTEL","2022-7-0601","KEMER","ChIJmyx0s26_wxQRhnG9YIXnsQ4","kemer","Kemer","55","90","ready",""
"catamaran","CATAMARAN","8979","KEMER","ChIJTVVVVZK3wxQRPJ_uQXBaJJ8","kemer","Kemer","55","90","ready",""
"city-otel-ambassador","CİTY OTEL AMBASSADOR","2022-7-1075|2022-7-0964","KEMER","ChIJea_Y3mO3wxQRW39fVYFutW0","kemer","Kemer","55","90","ready",""
"club-otel-rama","CLUB  OTEL  RAMA","11006","KEMER","ChIJQ3z6MtS4wxQRqmSv2jkfwKM","kemer","Kemer","55","90","ready",""
"club-boran-mare-beach","CLUB BORAN MARE BEACH","4497","KEMER","ChIJBZzOh_q4wxQRmdkYA2aDMgM","kemer","Kemer","55","90","ready",""
"club-hotel-belpinar","CLUB HOTEL BELPINAR","2022-7-0581","KEMER","ChIJYz2GEai_wxQRxsq_Y4ePBGI","kemer","Kemer","55","90","ready",""
"club-hotel-sunbel","CLUB HOTEL SUNBEL","11102","KEMER","ChIJlxaOCiO_wxQR1PM5s3_diX4","kemer","Kemer","55","90","ready",""
"club-marakesh-beach-hotel","CLUB MARAKESH BEACH HOTEL","13254","KEMER","ChIJ8bmrKUe_wxQRDE2cBP4E39U","kemer","Kemer","55","90","ready",""
"club-marco-polo","CLUB MARCO POLO","12870","KEMER","ChIJNw2cNQDJwxQRS_ez5kWkdY4","kemer","Kemer","55","90","ready",""
"corendon-hydros-club-kemer","CORENDON HYDROS CLUB KEMER","7111","KEMER","ChIJUU-8hZq3wxQRZtllIcLJwmg","kemer","Kemer","55","90","ready",""
"camyuva-beach-hotel","ÇAMYUVA BEACH HOTEL","9347","KEMER","ChIJf_saTGa2wxQRrH0iHKFrDJA","kemer","Kemer","55","90","ready",""
"daima-biz-hotel","DAİMA BİZ HOTEL","14299","KEMER","ChIJv80aCFi2wxQRK4DtXCX_cPo","kemer","Kemer","55","90","ready",""
"dedeman-kemer-resort","DEDEMAN KEMER RESORT","2022-7-1110","KEMER","ChIJ26Pj-VW3wxQRBMXkIygG888","kemer","Kemer","55","90","ready",""
"dosinia-luxury-resort","DOSINIA LUXURY RESORT","G_25679","KEMER","ChIJHYRgoKK4wxQRMMtLDts2qnE","kemer","Kemer","55","90","ready",""
"edem-flower-otel","EDEM FLOWER OTEL","2022-7-1491","KEMER","ChIJwxjurgq3wxQRE6R3b_hWnAE","kemer","Kemer","55","90","ready",""
"elamir-resort-hotel","ELAMIR RESORT HOTEL","17537","KEMER","ChIJPUvH3iVZwxQR6hlp5Hz7V-A","kemer","Kemer","55","90","ready",""
"elijah-hotel","ELIJAH HOTEL","2022-7-1478","KEMER","ChIJAQBA6KC3wxQR44rvPYW5LBw","kemer","Kemer","55","90","ready",""
"elit-life-hotel","ELİT LİFE HOTEL","2022-7-0444","KEMER","ChIJc-Aya2a2wxQRc9TWqQiCJmM","kemer","Kemer","55","90","ready",""
"emelda-sun-club","EMELDA SUN CLUB","27397","KEMER","ChIJA9MW0G-2wxQRqaWWykx-v_Y","kemer","Kemer","55","90","ready",""
"erkal-resort-hotel","ERKAL RESORT HOTEL","2022-7-0535","KEMER","ChIJx4rO0423wxQRqUWuaj8Ww04","kemer","Kemer","55","90","ready",""
"esma-clove-resort","ESMA CLOVE RESORT","12032","KEMER","ChIJXW-0IvW3wxQRaMOlW-zi5hQ","kemer","Kemer","55","90","ready",""
"fame-beach-hotel","FAME BEACH HOTEL","6239","KEMER","ChIJ6URHQpm3wxQRkK1I-AC2_Ok","kemer","Kemer","55","90","ready",""
"fame-residence-goynuk-otel","FAME RESİDENCE GÖYNÜK OTEL","16174","KEMER","ChIJ93La3_a4wxQRKeWDxVkSWhk","kemer","Kemer","55","90","ready",""
"fashiontv-luxe-resort","FASHIONTV LUXE RESORT","23071","KEMER","ChIJe523-1u5wxQRVhqzv2Cd8w4","kemer","Kemer","55","90","ready",""
"fore-resort-otel","FORE RESORT OTEL","2022-7-1495","KEMER","ChIJgQMEJ-u3wxQRv0NwB0_HAhQ","kemer","Kemer","55","90","ready",""
"forest-park","FOREST PARK","10021","KEMER","ChIJQYoJsKS3wxQRFZc6fR4FigQ","kemer","Kemer","55","90","ready",""
"fun-sun-smart-akman-beach","FUN SUN SMART AKMAN BEACH","2022-7-1467","KEMER","ChIJTYrmjXa2wxQRghj3_7V6mHA","kemer","Kemer","55","90","ready",""
"fun-sun-smart-lurea-beach","FUN SUN SMART LUREA BEACH","11558","KEMER","ChIJgQsBh_a3wxQR_gDkuNOwMQU","kemer","Kemer","55","90","ready",""
"garden-park-beldibi-hotel","GARDEN PARK BELDİBİ HOTEL","G_25248","KEMER","ChIJjTw9zw-_wxQR9juwSbulWt8","kemer","Kemer","55","90","ready",""
"golden-lotus","GOLDEN LOTUS","9590","KEMER","ChIJR2Id2Ju3wxQRq_UFI1ZVzVM","kemer","Kemer","55","90","ready",""
"grand-hotel-derin","GRAND HOTEL DERİN","2021-7-0026","KEMER","ChIJLU5PcBe_wxQRuHcBONbyvvE","kemer","Kemer","55","90","ready",""
"grand-mir-amor-hotel-spa","GRAND MİR'AMOR HOTEL & SPA","G_25152","KEMER","ChIJMTPuVwC3wxQRCWkjeg4QJvg","kemer","Kemer","55","90","ready",""
"grand-nar-otel","GRAND NAR OTEL","2022-7-0530","KEMER","ChIJ-2_iU6S3wxQRJvBpr80g-3c","kemer","Kemer","55","90","ready",""
"grand-viking","GRAND VİKİNG","2022-7-0467","KEMER","ChIJP2NKq6W3wxQRxJFxdlxuwZg","kemer","Kemer","55","90","ready",""
"gul-mountain-hotel","GÜL MOUNTAIN HOTEL","2022-7-1292","KEMER","ChIJyR1dmv3FwxQRVsuAjUJCTi4","kemer","Kemer","55","90","ready",""
"gypsophila-club-marine","GYPSOPHILA CLUB MARINE","3756","KEMER","ChIJW27GEvbIwxQRRCq4LT1_BjY","kemer","Kemer","55","90","ready",""
"hotel-golden-sun","HOTEL GOLDEN SUN","12490","KEMER","ChIJM6oDiBe_wxQR1BHumrwC-qE","kemer","Kemer","55","90","ready",""
"karmir-resort-spa-hotel","KARMİR RESORT & SPA HOTEL","14330","KEMER","ChIJ8wAAAPC4wxQR4VbkdcjqxUg","kemer","Kemer","55","90","ready",""
"kemer-dream-otel","KEMER DREAM OTEL","12200","KEMER","ChIJQ08eWZC3wxQR1P7WcT6-aVg","kemer","Kemer","55","90","ready",""
"l-ancora-beach-hotel","L'ANCORA BEACH HOTEL","2881","KEMER","ChIJTdEpbpm3wxQR45zLUktqBKw","kemer","Kemer","55","90","ready",""
"l-oceanica-beach-resort","L'OCEANICA BEACH RESORT","10102","KEMER","ChIJf0rL32a2wxQRdrY1mhTn60k","kemer","Kemer","55","90","ready",""
"lims-bona-dea-beach-hotel","LİMS BONA DEA BEACH HOTEL","2022-7-0646","KEMER","ChIJawopIbC3wxQRG6-iN4bir_I","kemer","Kemer","55","90","ready",""
"lucida-beach-hotel","LUCIDA BEACH HOTEL","10142","KEMER","ChIJtY5bima2wxQRudl40gjwpco","kemer","Kemer","55","90","ready",""
"ma-biche-kemer-by-werde-hotels","MA BICHE KEMER BY WERDE HOTELS","8542","KEMER","ChIJc1x31Oe5wxQRMMbk5hiJzQA","kemer","Kemer","55","90","ready",""
"magic-sun-otel","MAGIC SUN OTEL","2022-7-1575","KEMER","ChIJsbD2wqW_wxQRpbcfWCY8KgM","kemer","Kemer","55","90","ready",""
"malibu-garden-resort","MALİBU GARDEN RESORT","2022-7-1742","KEMER","ChIJq0U2cv62wxQRmEcFXTSPt7g","kemer","Kemer","55","90","ready",""
"mirada-del-mar-hotel","MİRADA DEL MAR HOTEL","G_24137","KEMER","ChIJ9zFH-ua4wxQRSkD0EIwgVlg","kemer","Kemer","55","90","ready",""
"more-otel","MORE OTEL","2022-7-1481","KEMER","ChIJe-02_gW_wxQRNE_7JY8yvso","kemer","Kemer","55","90","ready",""
"neuron-otel","NEURON OTEL","21772","KEMER","ChIJ9zn1HLK5wxQROeeET3X3rKM","kemer","Kemer","55","90","ready",""
"ng-phaselis-bay","NG PHASELIS BAY","18875","KEMER","ChIJobI6a4PLwxQRD6Sz71MlqF0","kemer","Kemer","55","90","ready",""
"olya-otel","OLYA OTEL","2022-7-1581","KEMER","ChIJneNml35XwxQR2Av0c6foDYc","kemer","Kemer","55","90","ready",""
"onkel-hotels-beldibi-resort","ONKEL HOTELS BELDİBİ RESORT","11177","KEMER","ChIJqXIm-PO4wxQRSO6QC2R7zXg","kemer","Kemer","55","90","ready",""
"oranj-ranch-hotel","ORANJ RANCH HOTEL","2022-7-1080","KEMER","ChIJvWc1gQu2wxQRtyFnQWddtCs","kemer","Kemer","55","90","ready",""
"ozkaymak-marina-otel","ÖZKAYMAK MARİNA OTEL","2022-7-0982","KEMER","ChIJfRRzCZi3wxQRPXuJ8wsWeL4","kemer","Kemer","55","90","ready",""
"pera-aura","PERA AURA","27382","KEMER","ChIJqzYifpC3wxQRd7YQuAFlaIc","kemer","Kemer","55","90","ready",""
"rios-latte-beach-otel","RIOS LATTE BEACH OTEL","2022-7-1387","KEMER","ChIJ-XRL5Qe_wxQRisIPg4Yuv1s","kemer","Kemer","55","90","ready",""
"ring-beach-otel","RİNG BEACH OTEL","2022-7-1474","KEMER","ChIJbb4GsRC_wxQRhTE_0iWHDLc","kemer","Kemer","55","90","ready",""
"rk-magic-dream-hotel","RK MAGİC DREAM HOTEL","26174","KEMER","ChIJxU6WK4y3wxQR-SRtkfNOqYs","kemer","Kemer","55","90","ready",""
"robinson-club-camyuva","ROBINSON CLUB ÇAMYUVA","12069","KEMER","ChIJvWj609i1wxQRrUVrZR72PLY","kemer","Kemer","55","90","ready",""
"rose-garden-premium-hotel","ROSE GARDEN PREMİUM HOTEL","24745","KEMER","ChIJq3Qpop23wxQRhUMrGGBEbXk","kemer","Kemer","55","90","ready",""
"rox-resort-hotel","ROX RESORT HOTEL","16316","KEMER","ChIJecMZxKi3wxQR4UlL7S5jdiA","kemer","Kemer","55","90","ready",""
"sailor-s-beach-club","SAILOR'S BEACH CLUB","8550","KEMER","ChIJz26SQgK3wxQRfGjkrrlCK9Y","kemer","Kemer","55","90","ready",""
"santana-hotel","SANTANA HOTEL","2022-7-1374","KEMER","ChIJZZBaKQm_wxQR4L_VGBD9yt8","kemer","Kemer","55","90","ready",""
"sealife-kemer-resort-hotel","SEALIFE KEMER RESORT HOTEL","21775","KEMER","ChIJxeRjcgm3wxQRFRHMndsaBm8","kemer","Kemer","55","90","ready",""
"selcukhan-hotel","SELÇUKHAN HOTEL","2022-7-0584","KEMER","ChIJ82hLF6i_wxQRVS7zXvFxyB8","kemer","Kemer","55","90","ready",""
"sveo-resort-kemer","SVEO RESORT KEMER","2366","KEMER","ChIJ9T2C4Aa3wxQRGN1ox8-2Z5Q","kemer","Kemer","55","90","ready",""
"swandor-hotels-resorts-kemer","SWANDOR HOTELS & RESORTS KEMER","5833","KEMER","ChIJObboQ_m2wxQRsVzsrZwstcQ","kemer","Kemer","55","90","ready",""
"tal-beach-hotel","TAL BEACH HOTEL","2022-7-0644","KEMER","ChIJ4VUrSX25wxQRr_k5eYOj6SA","kemer","Kemer","55","90","ready",""
"the-norm-oriental-otel","THE NORM ORIENTAL OTEL","5499","KEMER","ChIJ2wWFC9u3wxQRpYR6dkMoKKA","kemer","Kemer","55","90","ready",""
"transatlantik-hotel-spa","TRANSATLANTİK HOTEL & SPA","20140","KEMER","ChIJXauaaPW4wxQR0L0XIQxMKk4","kemer","Kemer","55","90","ready",""
"valeri-beach","VALERİ BEACH","8098","KEMER","ChIJ2TNc0pu3wxQRQ1fJHSuUATA","kemer","Kemer","55","90","ready",""
"viking-beach-otel","VİKİNG BEACH OTEL","24591","KEMER","ChIJH5jRgmK3wxQR-Gtj8busHkA","kemer","Kemer","55","90","ready",""
"viking-park-otel","VİKİNG PARK OTEL","19953","KEMER","ChIJQTL95fi2wxQRUlnd6UVrQok","kemer","Kemer","55","90","ready",""
"zena-resort-otel","ZENA RESORT OTEL","9364","KEMER","ChIJp62D9Mi3wxQRBUVLITZX25Q","kemer","Kemer","55","90","ready",""
"club-hotel-turan-prince-world","CLUB HOTEL TURAN PRİNCE WORLD","3676","MANAVGAT","ChIJexkPXtBe2xQRUXvSC4so7TE","kizilagac","Manavgat/Kızılağaç","60","95","ready",""
"club-nena","CLUB NENA","4407","MANAVGAT","ChIJX74wAP9TwxQRGdeOITY1prk","kizilagac","Manavgat/Kızılağaç","60","95","ready",""
"selectum-family-resort-side","SELECTUM FAMILY RESORT SİDE","18145","MANAVGAT","ChIJ-VceAeCsxBQRUgJ6YWpjC1k","kizilagac","Manavgat/Kızılağaç","60","95","ready",""
"selectum-family-comfort-side","SELECTUM FAMİLY COMFORT SİDE","10977","MANAVGAT","ChIJz-C9WfpTwxQRSSdKLkqtNR0","kizilagac","Manavgat/Kızılağaç","60","95","ready",""
"skys-hotel","SKYS HOTEL","2022-7-0460","MANAVGAT","ChIJP4xMyo9TwxQRUNKQKxsO8rk","kizilagac","Manavgat/Kızılağaç","60","95","ready",""
"tui-blue-palm-garden","TUI BLUE PALM GARDEN","12240","MANAVGAT","ChIJPQsgfFVRwxQRRu1m94sXmsQ","kizilagac","Manavgat/Kızılağaç","60","95","ready",""
"vita-silva-otel","VITA SILVA OTEL","25755","MANAVGAT","ChIJTY_iS5pTwxQRgYP1dICP62E","kizilagac","Manavgat/Kızılağaç","60","95","ready",""
"washington-resort-hotel-spa","WASHINGTON RESORT HOTEL&SPA","11116","MANAVGAT","ChIJ1ZxMfvpTwxQR_04VRUHPw3g","kizilagac","Manavgat/Kızılağaç","60","95","ready",""
"a-hotel-side","A HOTEL SİDE","21655","MANAVGAT","ChIJWy7MeRZZwxQR83ISvgQWJLo","side","Side","50","85","ready",""
"alessia-hotel","ALESSIA HOTEL","25517","MANAVGAT","ChIJB8VV7IVZwxQRXoCDlXkwcio","side","Side","50","85","ready",""
"arcanus-trendline-resort-side","ARCANUS TRENDLİNE RESORT SİDE","20498","MANAVGAT","ChIJQ9j-NrRXwxQRoje2e4Y0hmA","side","Side","50","85","ready",""
"barut-b-suites","BARUT B SUITES","12184","MANAVGAT","ChIJj4JtNs9ewxQRVVV9vrd5M0k","side","Side","50","85","ready",""
"barut-goia-otel","BARUT GOIA OTEL","23621","MANAVGAT","ChIJA5EV5IZZwxQRIXKH2PGKl1w","side","Side","50","85","ready",""
"bella-resort-spa","BELLA RESORT &SPA","27357","MANAVGAT","ChIJIftI4V1ewxQR5xTPKloFVug","side","Side","50","85","ready",""
"berry-blue-hotel","BERRY BLUE HOTEL","26309","MANAVGAT","ChIJo-Ty9MZZwxQR6m46ox551JU","side","Side","50","85","ready",""
"beyaz-saray-otel","BEYAZ SARAY OTEL","2022-7-1388","MANAVGAT","ChIJO_jrCplZwxQRTGlzgiA2bbM","side","Side","50","85","ready",""
"bieno-venus-hotel","BİENO VENÜS HOTEL","G_25724","MANAVGAT","ChIJzxcWzMlnwRQRV6BdjiiZDe4","side","Side","50","85","ready",""
"can-garden-resort-otel","CAN GARDEN RESORT OTEL","11604","MANAVGAT","ChIJX4LJIO9ewxQRMvlAIN_j6Rc","side","Side","50","85","ready",""
"club-grand-side","CLUB GRAND SİDE","6448","MANAVGAT","ChIJXf6cj_FewxQRqltZ7X7F4xM","side","Side","50","85","ready",""
"club-side-coast-hotel","CLUB SİDE COAST HOTEL","26021|16186","MANAVGAT","ChIJi9zMyMNewxQRbKRBQULtx_I","side","Side","50","85","ready",""
"defne-dream","DEFNE DREAM","7763","MANAVGAT","ChIJX-JRGEdHdkAR7gXlKAGAT60","side","Side","50","85","ready",""
"defne-garden","DEFNE GARDEN","11050","MANAVGAT","ChIJgymPDjVZwxQRd5T0oJwQqro","side","Side","50","85","ready",""
"diamond-premium-hotel","DİAMOND PREMİUM HOTEL","15641","MANAVGAT","ChIJF2mtcUtXwxQRyo65MLo5LV8","side","Side","50","85","ready",""
"dosi-otel","DOSİ OTEL","13680","MANAVGAT","ChIJUa5lDrDmn0ARsQQGxBA0q3o","side","Side","50","85","ready",""
"dream-water-world","DREAM WATER WORLD","20583","MANAVGAT","ChIJT0umQiZZwxQRlvAd2w3CGPE","side","Side","50","85","ready",""
"dream-world-palace-hotel","DREAM WORLD PALACE HOTEL","20566","MANAVGAT","ChIJIfhjJQZfwxQRf58Dw8CPyUE","side","Side","50","85","ready",""
