certificateNo,name,documentType,facilityType,facilityClass,city,district,placeId,reason
"17987","CLUB BIG BLUE SUITE HOTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJ7Wr6M1aY3BQRUBqEr53ga_M","operational-confirmed"
"2022-7-0581","CLUB HOTEL BELPINAR","Basit Konaklama","OTEL","","ANTALYA","KEMER","ChIJYz2GEai_wxQRxsq_Y4ePBGI","operational-confirmed"
"17129","CONCORDİA CELES","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJL3lLaPaZ3BQRbnx2CtSBWN8","operational-confirmed"
"20812","Day One Beach Resort Hotel","Turizm İşletmesi Belgesi","Butik Otel","","ANTALYA","ALANYA","ChIJISRzG1qY3BQRq_tjH1_k5cw","operational-confirmed"
"12874","DIAMOND HILL RESORT","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJo8IlGQCZ3BQRJnU0-hC1RKc","operational-confirmed"
"2022-7-0091","DIAMORE HOTEL","Basit Konaklama","HOTEL","","ANTALYA","ALANYA","ChIJlw1uVQaQwxQRJXjiLlvpMfQ","operational-confirmed"
"9585","ELYSEE BEACH","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","ALANYA","ChIJE4NxSYWi3BQRdvNbIyeVJWw","operational-confirmed"
"3204","ELYSEE RIVE","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJEeo3YF6Y3BQRX-znFYNadgA","operational-confirmed"
"2022-7-1149","EN VIE BEACH OTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJxWfVn3-i3BQRVZHWa601OFU","operational-confirmed"
"G_25248","GARDEN PARK BELDİBİ HOTEL","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","KEMER","ChIJjTw9zw-_wxQR9juwSbulWt8","operational-confirmed"
"2455","GARDENİA","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJCSz315qi3BQR_9sDWLLO-Fk","operational-confirmed"
"2021-7-0026","GRAND HOTEL DERİN","Basit Konaklama","OTEL","","ANTALYA","KEMER","ChIJLU5PcBe_wxQRuHcBONbyvvE","operational-confirmed"
"12464","GRAND ZAMAN GARDEN OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJ5fp80ISi3BQRvRhRBCKahyk","operational-confirmed"
"3756","GYPSOPHILA CLUB MARINE","Turizm İşletmesi Belgesi","Tatil Köyü","5 Yıldızlı","ANTALYA","KEMER","ChIJW27GEvbIwxQRRCq4LT1_BjY","operational-confirmed"
"2022-7-0545","HAWAII SUITE BEACH OTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJuW-aHl6Y3BQRm8cg6E5OeEk","operational-confirmed"
